shift_cm_inverse,intensity
2137.0,0.4262
2139.7,0.4262
2142.5,0.4262
2145.2,0.4262
2147.9,0.4262
2150.7,0.4262
2153.4,0.4262
2156.2,0.4262
2158.9,0.4262
2161.6,0.4262
2164.4,0.4262
2167.1,0.4262
2169.9,0.4262
2172.6,0.4262
2175.3,0.4262
2178.1,0.4262
2180.8,0.4262
2183.6,0.4270
2186.3,0.4262
2189.0,0.4262
2191.8,0.4262
2194.5,0.4262
2197.3,0.4262
2200.0,0.4262
2202.7,0.4262
2205.5,0.4270
2208.2,0.4270
2211.0,0.4270
2213.7,0.4270
2216.4,0.4270
2219.2,0.4270
2221.9,0.4270
2224.7,0.4270
2227.4,0.4270
2230.1,0.4270
2232.9,0.4270
2235.6,0.4270
2238.4,0.4270
2241.1,0.4270
2243.8,0.4270
2246.6,0.4270
2249.3,0.4279
2252.1,0.4279
2254.8,0.4279
2257.5,0.4279
2260.3,0.4279
2263.0,0.4279
2265.8,0.4279
2268.5,0.4279
2271.2,0.4270
2274.0,0.4262
2276.7,0.4262
2279.5,0.4262
2282.2,0.4262
2284.9,0.4262
2287.7,0.4262
2290.4,0.4262
2293.2,0.4279
2295.9,0.4279
2298.6,0.4270
2301.4,0.4270
2304.1,0.4270
2306.8,0.4279
2309.6,0.4279
2312.3,0.4279
2315.1,0.4270
2317.8,0.4270
2320.5,0.4270
2323.3,0.4270
2326.0,0.4270
2328.8,0.4270
2331.5,0.4270
2334.2,0.4270
2337.0,0.4270
2339.7,0.4270
2342.5,0.4279
2345.2,0.4279
2347.9,0.4279
2350.7,0.4279
2353.4,0.4279
2356.2,0.4279
2358.9,0.4279
2361.6,0.4279
2364.4,0.4279
2367.1,0.4279
2369.9,0.4279
2372.6,0.4279
2375.3,0.4279
2378.1,0.4279
2380.8,0.4279
2383.6,0.4279
2386.3,0.4279
2389.0,0.4279
2391.8,0.4279
2394.5,0.4279
2397.3,0.4279
2400.0,0.4279
2402.7,0.4279
2405.5,0.4279
2408.2,0.4279
2411.0,0.4279
2413.7,0.4279
2416.4,0.4279
2419.2,0.4279
2421.9,0.4279
2424.7,0.4279
2427.4,0.4279
2430.1,0.4279
2432.9,0.4279
2435.6,0.4295
2438.4,0.4295
2441.1,0.4312
2443.8,0.4312
2446.6,0.4329
2449.3,0.4337
2452.1,0.4346
2454.8,0.4354
2457.5,0.4354
2460.3,0.4346
2463.0,0.4346
2465.8,0.4329
2468.5,0.4329
2471.2,0.4320
2474.0,0.4312
2476.7,0.4312
2479.5,0.4312
2482.2,0.4304
2484.9,0.4295
2487.7,0.4295
2490.4,0.4295
2493.2,0.4295
2495.9,0.4295
2498.6,0.4295
2501.4,0.4295
2504.1,0.4295
2506.8,0.4295
2509.6,0.4295
2512.3,0.4295
2515.1,0.4295
2517.8,0.4295
2520.5,0.4295
2523.3,0.4295
2526.0,0.4295
2528.8,0.4295
2531.5,0.4295
2534.2,0.4295
2537.0,0.4295
2539.7,0.4295
2542.5,0.4295
2545.2,0.4295
2547.9,0.4295
2550.7,0.4295
2553.4,0.4295
2556.2,0.4295
2558.9,0.4295
2561.6,0.4295
2564.4,0.4295
2567.1,0.4295
2569.9,0.4295
2572.6,0.4295
2575.3,0.4295
2578.1,0.4295
2580.8,0.4295
2583.6,0.4295
2586.3,0.4295
2589.0,0.4295
2591.8,0.4295
2594.5,0.4295
2597.3,0.4295
2600.0,0.4295
2602.7,0.4304
2605.5,0.4312
2608.2,0.4312
2611.0,0.4312
2613.7,0.4312
2616.4,0.4329
2619.2,0.4329
2621.9,0.4329
